,./ProjetoGenerico/Algoritmos/UsandoFuncoes.cpp,./ProjetoGenerico/Classes/TEMPLATE.CPP,./ProjetoGenerico/Algoritmos/UsandoVariaveisGlobaisELocais.cpp,./ProjetoGenerico/Header/Header.h,./ProjetoGenerico/Algoritmos/UsandoMatrizesEPonteiros.cpp,./ProjetoGenerico/Outros Arquivos/limits-structnest.cpp,./ProjetoGenerico/Algoritmos/UsandoEstruturasDeControle.cpp,./ProjetoGenerico/Classes/TratamentoDeExcecoes.cpp,./ProjetoGenerico/Outros Arquivos/c11-align-1.cpp,./ProjetoGenerico/Classes/CLASSES1.CPP,./ProjetoGenerico/Algoritmos/Teste.cpp,./ProjetoGenerico/Algoritmos/Diretivas.cpp,./ProjetoGenerico/Classes/EnumsStructsEUnions.cpp,./ProjetoGenerico/Outros Arquivos/limits-declparen.cpp,./ProjetoGenerico/Classes/UsandoClassesEVariaveis.cpp,./ProjetoGenerico/Outros Arquivos/limits-exprparen.cpp,./ProjetoGenerico/Outros Arquivos/limits-ifs.cpp
unsign,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operador,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variavei,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
regist,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
que,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
virgula,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
volatil,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
const,0,0,5,0,0,0,0,0,0,1,0,0,18,0,0,0,0
globai,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
global,0,0,2,0,0,0,0,0,0,5,0,0,0,0,14,0,0
incremento,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calloc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
locai,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
long,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tern,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
int,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptr,0,0,3,6,10,0,0,0,0,0,0,0,0,6,0,0,0
decremento,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
implicita,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
declaracao,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rivei,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
char,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ponteiro,0,0,12,0,37,0,0,0,0,0,0,0,8,0,0,0,0
short,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da,0,0,2,5,1,0,0,0,0,0,0,2,30,0,12,0,0
lo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rbr,0,0,0,6,0,5,0,0,0,0,0,0,0,6,0,6,0
bloco,0,0,0,5,0,0,0,0,0,0,0,0,21,0,0,0,0
fora,0,0,0,1,0,0,0,0,0,0,0,0,10,0,2,0,0
do,0,0,0,1,0,0,30,0,1,0,0,2,2,0,8,0,1
arquivo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0
vetor,0,0,0,1,19,0,0,0,0,0,0,0,8,0,0,0,0
h,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
membro,0,0,0,3,0,0,0,0,0,0,0,0,78,0,0,0,0
comentario,0,0,0,5,0,0,0,0,0,0,0,0,40,0,0,0,0
enum,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0
str,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
q,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
uni,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
na,0,0,0,3,0,0,1,0,0,0,0,1,12,0,0,0,0
field,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0
header,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
matriz,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0
stri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
texto,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
compar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ff,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d,0,0,0,0,0,1,11,0,0,0,0,0,3,0,0,0,0
f,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
structnest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nome,0,0,0,0,0,4,0,0,0,32,0,0,0,0,0,0,0
