,/src/:com.xml2xsd.GenericClass,/src/:com.xml2xsd.AnotherEnum,/src/:com.xml2xsd.GenericClass$GenericEnum
constant,3,0,0
b,3,0,0
param,2,0,0
gener,3,0,0
privat,3,0,0
test,1,0,0
variabl,2,0,0
paramet,4,0,0
return,1,0,0
class,3,0,0
javadoc,1,0,0
invoc,1,0,0
attribut,5,0,0
noth,1,0,0
valu,2,0,0
method,4,0,0
local,2,0,0
comment,2,2,2
public,5,0,0
look,0,1,1
red,0,1,1
blue,0,1,1
green,0,1,1
line,0,1,1
block,0,1,1
enum,0,1,1
insid,0,1,1
