,Entity's Name,LOC Count,Header Count,Inner Entities Lines,Total,Entity Type
,prompt,4,0,0,4,FUNCTION
,UsandoEstruturasDeControle.cpp,4,1,4,9,FILE
Total,,8,1,4,9
