,Entity's Name,LOC Count,Header Count,Annotation Count,Inner Entities Lines,Total,Entity Type
,sem tipo,185,5,0,0,190,INNER_CLASS
,sem tipo,10,0,0,0,10,INNER_CLASS
Total,,195,5,0,0,200
